Xbox Game Title	Title ID	Title	XDK version
Karaoke Revolution Party	0x4B4E002E	Karaoke Revolution Party	5849
Kelly Slater's Pro Surfer	0x41560002	Kelly Slater's Pro Surfer	4627
Kikou Heidan J-Phoenix Plus	0x54410001	J Phoenix+	4134
kill.switch	0x4E4D000B	kill.switch	5558
King Arthur	0x4B4E0024	King Arthur	5849
King Of Fighters 2002	0x534E0006	THE KING OF FIGHTERS 2002	5849
King Of Fighters 2003	0x534E0003	THE KING OF FIGHTERS 2003	5849
King of Fighters: Maximum Impact - Maniax	0x534E0007	KOF MAXIMUM IMPACT MANIAX	5849
Kingdom Under Fire: Heroes	0x504C0006	Kingdom Under Fire: Heroes	5849
Kingdom Under Fire: The Crusaders	0x504C0004	Kingdom Under Fire  The Crusaders	5849
Knight's Apprentice: Memorick's Adventures (PAL)	0x4D490004	Memorick	5659
Knights of the Temple	0x544D0007	Knights of the Temple	5788
Knights of the Temple 2	0x544D0013	KOTT2	5849
Knockout Kings 2002	0x4541000A	Knockout Kings 2002	4039
Kung Fu Chaos	0x4D530031	Kung Fu Chaos	5120
L.A. Rush	0x4D570025	LA Rush	5849
Lake masters	0x4343000B	LAKEMASTERS	5455
Land of the Dead: Road to Fiddler's Green	0x47560004	Land of the Dead	5849
Largo Winch	0x5553000B	LARGO WINCH	4627
Le Tour De France	0x4B4E000F	TOUR DE FRANCE	4432
Legacy of Kain: Defiance	0x4553000F	LoK: Defiance	5659
Legends of Wrestling	0x41430003	Legends of Wrestling	4242
Legends of Wrestling II	0x4143000F	Legends of Wrestling 2	4831
LEGO Star Wars	0x4553001D	Lego Star Wars	5849
LEGO Star Wars II: The Original Trilogy	0x4C41001F	LEGO Star Wars II	5849
Leisure Suit Larry: Magna Cum Laude	0x56550031	Leisure Suit Larry: MCL	5849
